source,source_id,title,summary,s_category,provider,region,target_group,target_tags,target_age,target_age_min,target_age_max,target_detail,income_condition,startup_stage,support_type,apply_start,apply_end,additional_conditions,required_documents,application_method,detail_url,_scope,_scope_reason,norm_title,norm_provider,norm_period,category,subcategory
biz,PBLN_000000000124564,2026년 2차 정보보호제품 성능평가 지원 공모 사업 공고,"한국인터넷진흥원은 정보보호제품의 성능향상과 성능평가제도 활성화를 위해 대상제품군에 대한 성능평가 지원 사업을 아래와 같이 실시하오니 관심있는 기업들의 많은 참여 부탁드립니다.
☞ 대한민국에 본사를 둔 국내 정보보호제품 개발 기업
☞ 성능평가ㆍ컨설팅 비용 일부 지원",기술,한국인터넷진흥원,전국,중소기업,중소기업,,,,,,,시험/인증,2026-07-20,2026-08-14,,"이메일 접수
- (재)한국기계전기전자시험연구원 (KTC) : hwangbh2486@ktc.re.kr
- 한국시스템보증㈜ (KOSYAS) : spec@kosyas.com
- ㈜한국아이티평가원 (KSEL) : spp-test@ksel.co.kr
- ㈜한국정보보안기술원 (KOIST) : performance@koist.kr
- (재)한국화학융합시험연구원 (KTR) : tkkim@ktr.or.kr","이메일 접수
- (재)한국기계전기전자시험연구원 (KTC) : hwangbh2486@ktc.re.kr
- 한국시스템보증㈜ (KOSYAS) : spec@kosyas.com
- ㈜한국아이티평가원 (KSEL) : spp-test@ksel.co.kr
- ㈜한국정보보안기술원 (KOIST) : performance@koist.kr
- (재)한국화학융합시험연구원 (KTR) : tkkim@ktr.or.kr",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000124564,main,primary,2026년2차정보보호제품성능평가지원공모사업공고,한국인터넷진흥원,2026-07-20~2026-08-14,기술,시험/인증
biz,PBLN_000000000124563,[울산] 울주군 2026년 2차 소상공인 경영환경개선 및 디지털기기 지원 사업 공고,"울주군 지역 내 소상공인의 노후화된 점포환경 개선 및 디지털기기 구입비 등 지원을 통한 사업경쟁력 강화를 위해「2026년 울주군 소상공인 경영환경개선 및 디지털기기 지원 사업」을 아래와 같이 공고합니다.
☞ 울주군 내 사업장을 두고 사업공고 접수마감일 현재 사업자등록증명원 상 개업 6개월 이상 사업을 영위 중인「소상공인기본법」제2조 및「소상공인기본법 시행령」제3조에 따른 소상공인 사업자
※ 사업자등록증명원 상 개업일 2026. 02. 08. 까지 신청가능
※ 자세한 지원대상 공고문 참조
☞ 점포환경개선비(옥외광고물, 인테리어, 고정식 영업시설), 디지털기기지원비(POS기기, 무인결제시스템, 서빙로봇 등) 지원
- 최대 300만원 이내",경영,울산광역시소상공인행복드림센터,울산광역시,소상공인,소상공인,,,,,,,시설/입지지원,2026-07-27,2026-08-07,,"온라인 접수 (울산광역시소상공인행복드림센터)
※ 다만, 온라인 접수가 곤란한 경우에 한해 현장접수 기간(8.6.∼8.7.)에만 접수 가능
- 접수처 : 울주군청 내 1층 및 소상공인 행복드림센터","온라인 접수 (울산광역시소상공인행복드림센터)
※ 다만, 온라인 접수가 곤란한 경우에 한해 현장접수 기간(8.6.∼8.7.)에만 접수 가능
- 접수처 : 울주군청 내 1층 및 소상공인 행복드림센터",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000124563,main,primary,울산울주군2026년2차소상공인경영환경개선및디지털기기지원사업공고,울산광역시소상공인행복드림센터,2026-07-27~2026-08-07,경영,시설/입지지원
biz,PBLN_000000000124561,[전북] 2026년 6차 ILP 서비스 기술연결 수요기업 모집 공고,"전북특별자치도와 전북테크노파크가 지원하는「전북특별자치도 ILP 서비스」는 공공연구기관ㆍ대학의 지식ㆍ연구성과ㆍ기술을 기업과 공유-연결하고 참여자간 협력을 통해 기술사업화를 촉진하기 위한 사업입니다. 전북특별자치도형 ILP 서비스에 참여하여 기술연결 및 사업화 추진을 희망하는 기업은 아래 공고내용에 따라 신청하여 주시기 바랍니다.
☞ 도내 사업장(본사, 지점, 공장, 연구소 등)을 보유한 기업으로 사업화를 위한 기술수요 또는 기술적 애로사항을 보유한 기업
☞ ILP 서비스를 통한 기술연결에 수반되는 비용 지원",기술,전북테크노파크,전북특별자치도,중소기업,중소기업,,,,,,,기술사업화/이전/지도,2026-07-20,2026-08-14,,온라인 접수(전북특별자치도 ILP 서비스 시스템),온라인 접수(전북특별자치도 ILP 서비스 시스템),https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000124561,main,primary,전북2026년6차ilp서비스기술연결수요기업모집공고,전북테크노파크,2026-07-20~2026-08-14,기술,기술사업화/이전/지도
biz,PBLN_000000000124560,[대구] 북구 2026년 하반기 소상공인 경영안정자금 지원사업 공고,"「대구광역시 북구 소상공인 지원에 관한 조례」에 따라 경영자금 확보에 어려움을 겪고 있는 소상공인에게 저금리의 경영안정 자금 대출 및 이자를 지원하기 위한 「2026년 하반기 소상공인 경영안정자금 지원사업」을 아래와 같이 공고합니다.
☞ 북구에 사업장을 두고 3개월 이상 영업 중인 소상공인
☞ 대출한도 업체당 5천만원 이내 지원
※ 자세한 지원내용 공고문 참조",자금,대구신용보증재단,대구광역시,소상공인,소상공인,,,,,,,융자,예산 소진시까지,,,"온라인 또는 방문 접수
- 접수처 : 대구신용보증재단 북지점
※ 대구신용보증재단 홈페이지(http://www.dgsinbo.or.kr)에서 사전 예약 후 방문 (예약없이 방문 시 상담이 어려울 수 있습니다)
- 온라인 : 보증드림 앱","온라인 또는 방문 접수
- 접수처 : 대구신용보증재단 북지점
※ 대구신용보증재단 홈페이지(http://www.dgsinbo.or.kr)에서 사전 예약 후 방문 (예약없이 방문 시 상담이 어려울 수 있습니다)
- 온라인 : 보증드림 앱",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000124560,main,primary,대구북구2026년하반기소상공인경영안정자금지원사업공고,대구신용보증재단,예산 소진시까지~,금융,융자
biz,PBLN_000000000124559,[전북] 2026년 지역창업특화지원(전주1인창조기업지원센터) 선택형 지원사업 추가모집 공고,"전주시와 전주정보문화산업진흥원에서는 우수 아이디어를 보유한 전주 1인 창조기업 지원센터 입주ㆍ졸업기업을 대상으로 아이디어 사업화 및 시장진출을 지원하는 「2026년 전주1인창조기업지원센터 선택형 지원사업」을 다음과 같이 진행하오니 많은 참여바랍니다.
☞ 현재 입주기업, 2024-2026년 내 입주 이력이 있는 졸업기업
※ 입주기업 중복지원 가능 [마케팅+지재권]
※ 졸업기업은 [지식재산권획득] 분야만 신청 가능 
☞ 기업당 최대 5백만원 이내 지원
- 마케팅지원(기업 당 4백만원), 지식재산권획득지원(기업 당 1백만원 내)
※ 자세한 지원내용 공고문 참조",경영,전주정보문화산업진흥원,전북특별자치도,중소기업,중소기업,,,,,,,디자인/상품화/사업화,2026-07-20,2026-07-27,,이메일 접수 (auddms88@jica.or.kr),이메일 접수 (auddms88@jica.or.kr),https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000124559,main,primary,전북2026년지역창업특화지원전주1인창조기업지원센터선택형지원사업추가모집공고,전주정보문화산업진흥원,2026-07-20~2026-07-27,경영,디자인/상품화/사업화
biz,PBLN_000000000124558,제2회 제조AI 솔루션 공모전 공고,"제조현장에 즉시 적용 가능한 AI 솔루션을 발굴하여 중소 제조기업의 AI전환을 촉진과 글로벌 경쟁력 제고를 지원하고자 제조AI 솔루션 발굴 공모전을 아래와 같이 개최하오니, 혁신적인 스마트제조 공급기업 여러분의 많은 신청을 바랍니다.
☞ (기본요건) 「중소기업기본법」에 따른 중소기업 및 「중견기업 성장 촉진 및 경쟁력 강화에 관한 특별법」에 따른 중견기업
- (필수요건) 스마트공장사업관리시스템(www.smart-factory.kr)에 스마트제조 또는 스마트서비스 공급기업으로 등록하고 공급기업 역량진단에 참여
- (스타트업 트랙) 창업 7년 이내의 제조 AI 솔루션 보유 기업
- (글로벌 트랙) 중소ㆍ중견기업 중 글로벌 수준의 경쟁력을 갖춘 제조AI 솔루션 보유 기업
※ 자세한 지원대상 공고문 참조
☞ 시상, 포상, 사업화지원, 제품 홍보, 투자지원 등 단계별 차등화된 혜택 제공",경영,중소기업기술정보진흥원,전국,중소기업,중소기업,,,,,,,디자인/상품화/사업화,2026-07-21,2026-08-21,,온라인 접수 (스마트공장 사업관리 시스템),온라인 접수 (스마트공장 사업관리 시스템),https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000124558,main,primary,제2회제조ai솔루션공모전공고,중소기업기술정보진흥원,2026-07-21~2026-08-21,경영,디자인/상품화/사업화
biz,PBLN_000000000124557,[강원] 춘천시 2026년 1차 우수 중소기업제품 특별판매전(춘천금빛장터) 참여기업 모집 공고,"춘천시와 강원지방중소벤처기업청은 중소기업의 판로개척을 위해 「2026년 제1차 우수 중소기업 제품 특별판매전(춘천금빛장터)」을 개최하고자 하오니, 참여를 희망하는 기업에서는 아래 내용을 참고하시기 바랍니다.
☞ 관내 중소기업ㆍ소상공인 등
- 식품, 생활용품 등 현장판매가 가능하고 소비자 구매가 용이한 제품 및 체험프로그램
☞ 매대, 현수막, 전기, 냉장․냉동고(필요시) 등 판매용품 지원
※ 참가비 없음",판로/수출,기초자치단체,강원특별자치도,중소기업,중소기업,,,,,,,오프라인,2026-07-20,2026-08-05,,이메일 접수 (etsj112@korea.kr),이메일 접수 (etsj112@korea.kr),https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000124557,main,primary,강원춘천시2026년1차우수중소기업제품특별판매전춘천금빛장터참여기업모집공고,기초자치단체,2026-07-20~2026-08-05,내수,오프라인
biz,PBLN_000000000124556,반도체 FOWLP 소부장 테스트베드 구축 기업지원 프로그램 공고,"충남테크노파크는 반도체 첨단 패키징 분야 기반조성을 위한 「FOWLP 소부장 테스트베드 구축」사업을 추진하고 있습니다. 이에 따라, 반도체 기업의 기술개발 및 사업화를 지원하는 기업지원 프로그램 수요기업 및 컨설팅 전문기업을 모집하고자 아래와 같이 공고하오니 많은 참여 바랍니다.
☞ FOWLP 및 첨단 패키징 기술 적용ㆍ고도화 희망 기업, 반도체 후공정ㆍ첨단 패키징 분야로의 사업 진입을 희망하는 기업(지역제한 없음)
☞ FOWLP 산업 기술ㆍ사업화 맞춤형 지원
- 기술ㆍ사업화 컨설팅 : 기업당 최대 8,000천원
- 기술서비스 : 시험ㆍ평가, 기술지도, 애로기술 지원",기술,충남테크노파크,충청남도,중소기업,중소기업,,,,,,,기술사업화/이전/지도,지원별 상이,,,"※ 지원내용 별 신청방법 상이하므로, 자세한 신청방법 공고문 참조
- 기술ㆍ사업화 컨설팅 : 방문 접수 또는 이메일 접수
ㆍ 접수처 : 충청남도 아산시 음봉면 연암산로 88, 사무동 215호
ㆍ 이메일 : mylee@ctp.or.kr
- 기술서비스 : 담당자 문의 후 신청
※ 접수처 출처바로가기 내 공고문 참조","※ 지원내용 별 신청방법 상이하므로, 자세한 신청방법 공고문 참조
- 기술ㆍ사업화 컨설팅 : 방문 접수 또는 이메일 접수
ㆍ 접수처 : 충청남도 아산시 음봉면 연암산로 88, 사무동 215호
ㆍ 이메일 : mylee@ctp.or.kr
- 기술서비스 : 담당자 문의 후 신청
※ 접수처 출처바로가기 내 공고문 참조",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000124556,main,primary,반도체fowlp소부장테스트베드구축기업지원프로그램공고,충남테크노파크,지원별 상이~,기술,기술사업화/이전/지도
biz,PBLN_000000000124555,[대구] 가치 업고(UP-GO) 마일리지 사업 문화공간 조성 프로그램 모집 공고,"대구광역시와 대구지역인적자원개발위원회에서는 대구지역 미래모빌리티 기업의 조직문화 개선 및 근로환경 선진화를 통한 근로자의 장기재직을 유도하고, 지역경제 발전과 기업 경쟁령 강화에 기여하고자 다음과 같이 사업을 시행하오니 기업 여러분의 많은 참여 바랍니다.
☞ 대구지역 미래모빌리티(자동차부품 등) 전ㆍ후방 기업(납품기업도 가능)
- 상시근로자수 500인 미만 기업
☞ 사내 휴게공간, 카페, 소통공간 등 문화공간 조성 지원(최대 800만원 지원, 물품 구매가능)",인력/일자리,대구상공회의소,대구광역시,중소기업,중소기업,,,,,,,고용유지,예산 소진시까지,,,이메일 접수 (dei3273@nate.com),이메일 접수 (dei3273@nate.com),https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000124555,main,primary,대구가치업고upgo마일리지사업문화공간조성프로그램모집공고,대구상공회의소,예산 소진시까지~,인력,고용유지
biz,PBLN_000000000124554,[강원] 2026년 2차 강원BRIDGE 글로벌 진출 프로그램 참여기업 모집 공고,"2026년 강원창조경제혁신센터에서는 강원지역 바이오ㆍ헬스케어 유망기업의 캐나다 시장 진출을 지원하기 위해 다음과 같이 프로그램을 공고하오니 역량 있는 기업의 많은 참여 바랍니다.
☞ 강원창조경제혁신센터 바이오ㆍ헬스케어분야 보육 및 투자기업
- 바이오ㆍ의료기기ㆍ디지털헬스ㆍSaMDㆍ진단ㆍ재활ㆍ원격 모니터링 분야 기업
☞ 온라인 사전 교육(IR 피칭ㆍ해외 비즈니스 코칭 2회이상), 기술체크리스트(전압ㆍ인증ㆍ표준 등), 인증허가 등 전문 자문 및 컨설팅 지원
- 파트너대상 기업당 5건 이상 비즈니스 1:1 매칭, EOI, MOU 등 계약 체결, 최종 3~4개사 선정 시 PoC 사업화자금 지원 예정
- 현지 프로그램 참가비, 체제비 지원",판로/수출,강원창조경제혁신센터,강원특별자치도,중소기업,중소기업,,,,,,,해외진출,2026-07-20,2026-07-27,,이메일 접수 (mijung.kim@ccei.kr),이메일 접수 (mijung.kim@ccei.kr),https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000124554,main,primary,강원2026년2차강원bridge글로벌진출프로그램참여기업모집공고,강원창조경제혁신센터,2026-07-20~2026-07-27,수출,해외진출
