source,source_id,title,summary,s_category,provider,region,target_group,target_age,target_age_min,target_age_max,target_detail,income_condition,startup_stage,support_type,apply_start,apply_end,additional_conditions,required_documents,application_method,detail_url,_scope,_scope_reason,norm_title,norm_provider,norm_period,category,subcategory
biz,PBLN_000000000121411,[울산] 울주군 2026년 강소기업 육성 기술 혁신 지원사업 추가모집 공고,"<p>성장잠재력을 갖춘 우수 중소기업을 발굴, 지원하여 기술 혁신성 및 산업역량을 제고하기 위해 다음과 같이 강소기업 육성 기술 혁신 지원사업을 시행합니다.</p><p><br></p><p>☞ 울주군 소재 제조업 영위 중소기업</p><p><br></p><p>☞ 지식재산권ㆍ인증 획득, 혁신기술 사업화, 혁신성장 컨설팅 지원</p>",기술,울산경제일자리진흥원,울산광역시,중소기업,,,,,,,기술사업화/이전/지도,지원분야별 상이,,,"이메일 접수 (kkkyyy@ubpi.or.kr)
※ 모든서류는 한 개의 pdf파일로 제출
※ 메일제목 및 파일명에 유의하여 제출 (메일제목 및 파일명 : 울주군 강소기업 기술 혁신 – 기업명) ","이메일 접수 (kkkyyy@ubpi.or.kr)
※ 모든서류는 한 개의 pdf파일로 제출
※ 메일제목 및 파일명에 유의하여 제출 (메일제목 및 파일명 : 울주군 강소기업 기술 혁신 – 기업명) ",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121411,main,primary,울산울주군2026년강소기업육성기술혁신지원사업추가모집공고,울산경제일자리진흥원,지원분야별 상이~,기술,기술사업화/이전/지도
biz,PBLN_000000000121410,[인천] 2026년 스타트업파크 실증제품 판로지원 지원사업 참여기업 모집 공고,"<p>인천경제자유구역청이 주관하고 인천테크노파크가 운영하는 인천스타트업파크에서는 스타트업의 우수한 실증제품이 공공 및 시범구매로 이어지고, 나아가 지속 가능한 시장 진출과 판로 확대의 기회를 마련할 수 있도록 「실증제품 판로지원 지원사업」 참여기업을 아래와 같이 모집하오니, 관심 있는 기업들의 많은 참여 바랍니다.</p><p><br></p><p>☞ 혁신 기술 및 제품ㆍ서비스를 보유하고 조달시장 진입을 목표로 하는 인천 소재 창업 7년 이내(신산업 분야는 10년 이내) 기업</p><p><br></p><p>☞ 전문가 컨설팅, 공공구매 상담회, 특허 출원비 또는 홍보물 제작 지원(택1)</p>",경영,인천테크노파크,인천광역시,창업벤처,,,,,,,디자인/상품화/사업화,2026-04-24,2026-05-22,,온라인 접수 (인천스타트업파크),온라인 접수 (인천스타트업파크),https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121410,main,primary,인천2026년스타트업파크실증제품판로지원지원사업참여기업모집공고,인천테크노파크,2026-04-24~2026-05-22,경영,디자인/상품화/사업화
biz,PBLN_000000000121409,[제주] 2026년 애니메이션 단편 제작지원 참여기업 모집 공고(글로벌 문화콘텐츠 제작지원사업),"<p>제주특별자치도와 제주콘텐츠진흥원에서는 애니메이션 단편 제작지원을 통하여 기업 자체 특화 IP 확보 및 사업화를 지원하고자  2026 「글로벌 문화콘텐츠 제작지원사업」애니메이션 단편 제작지원에 참여할 기업을 다음과 같이 모집하오니 많은 참여 신청 바랍니다. </p><p><br></p><p>☞ 공고일 현재 제주특별자치도에 본사 또는 지사 주소지를 두고 있으며 「문화산업진흥 기본법」 제2조 1호에 해당하는 법인사업자</p><p><br></p><p style=""line-height: 1.8;"">☞ 국산 애니메이션 단편 제작 지원</p><p style=""line-height: 1.8;"">※ 광고, 전시영상용 제외</p>",경영,제주콘텐츠진흥원,제주특별자치도,중소기업,,,,,,,디자인/상품화/사업화,2026-05-04,2026-05-08,,"이메일 접수 (hee@ofjeju.kr)
- 서식 준수하여 작성, 제출 후 유선 접수 확인 필수","이메일 접수 (hee@ofjeju.kr)
- 서식 준수하여 작성, 제출 후 유선 접수 확인 필수",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121409,main,primary,제주2026년애니메이션단편제작지원참여기업모집공고글로벌문화콘텐츠제작지원사업,제주콘텐츠진흥원,2026-05-04~2026-05-08,경영,디자인/상품화/사업화
biz,PBLN_000000000121408,[강원] 인제군 2026년 수출역량강화 지원사업  기업주도형 참가기업 모집 공고,"<p>인제군 우수 중소기업의 수출경쟁력 강화와 판로확대를 위해 아래와 같이「2026년 인제군 중소기업 수출경쟁력 강화 지원사업(기업주도형)」의 참가기업을 모집하오니 많은 신청 바랍니다.</p><p><br></p><p>☞ 인제군 소재(본사 또는 공장) 중소 제조기업</p><p><br></p><p>☞ 홍보물 제작, 해외인증마크 획득, 홍보동영상 제작, 해외 수출용 제품개선 지원</p><p>- 기업당 최대 20,000천원 이내(수출경쟁력 강화 지원사업 기준)</p>",판로/수출,강원특별자치도경제진흥원,강원특별자치도,중소기업,,,,,,,해외진출준비,2026-04-23,2026-05-08,,이메일 접수(dslee@gwep.or.kr),이메일 접수(dslee@gwep.or.kr),https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121408,main,primary,강원인제군2026년수출역량강화지원사업기업주도형참가기업모집공고,강원특별자치도경제진흥원,2026-04-23~2026-05-08,수출,해외진출준비
biz,PBLN_000000000121407,[제주] 2026년 기업자율형 해외마켓 참가지원 참여기업 모집 공고(글로벌 문화콘텐츠 제작 지원사업),"<p>제주특별자치도와 제주콘텐츠진흥원에서는 지역 애니메이션 기업의 IP 유통망 다각화를 지원하고, 글로벌 비즈니스 지원을 통한 애니메이션 콘텐츠 사업성 강화를 추진하기 위하여  2026 「글로벌 문화콘텐츠 제작지원사업」기업자율형 해외마켓 참가지원에 참여할 기업을 다음과 같이 모집하오니 많은 참여 신청 바랍니다. </p><p><br></p><p>☞ 공고일 현재 제주특별자치도에 본사 또는 지사 주소지를 두고 있으며 「애니메이션산업 진흥에 관한 법률」 제2조, 제17조에 해당하는 자로서 애니메이션업 신고를 필한 ‘애니메이션업자’</p><p><br></p><p>☞ 국산 애니메이션의 수출을 위한 해외 콘텐츠 전시ㆍ마켓 참가 비용 지원</p>",판로/수출,제주콘텐츠진흥원,제주특별자치도,중소기업,,,,,,,해외진출,2026-05-04,2026-05-08,,"이메일접수 (hee@ofjeju.kr)
- 서식 준수하여 작성, 제출 후 유선 접수확인 필수","이메일접수 (hee@ofjeju.kr)
- 서식 준수하여 작성, 제출 후 유선 접수확인 필수",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121407,main,primary,제주2026년기업자율형해외마켓참가지원참여기업모집공고글로벌문화콘텐츠제작지원사업,제주콘텐츠진흥원,2026-05-04~2026-05-08,수출,해외진출
biz,PBLN_000000000121406,[강원] 춘천시 2026년 중소기업 AI 구독료 지원사업 참가기업 모집 공고,"<p>춘천시 중소기업의 AI 경영 환경 구축의 선제적 대응을 위하여 추진하는「2026년 춘천시 중소기업 AI소프트웨어 구독료 지원사업」에 참가할 기업을 아래와 같이 모집하오니 참가를 희망하시는 기업의 많은 참여 바랍니다.</p><p><br></p><p>☞ 춘천시 소재 사업자등록(또는 공장등록) 중소기업</p><p><br></p><p>☞ 춘천시 기업의 AI소프트웨어 구독료 지원</p><p>- ChatGPT, Gemini 등 주요 AI 소프트웨어 구독료 지원</p><p>- 상품기획, 콘텐트제작, 내부업무자동화, 고객접점서비스 혁신 등</p><p>- AI 소프트웨어를 활용한 업무 효율 향상 등</p><p>- 그 외 사업 취지에 부합하는 기타 항목</p>",경영,강원특별자치도경제진흥원,강원특별자치도,중소기업,,,,,,,시설/입지지원,2026-04-23,2026-05-08,,이메일 접수(dslee@gwep.or.kr),이메일 접수(dslee@gwep.or.kr),https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121406,main,primary,강원춘천시2026년중소기업ai구독료지원사업참가기업모집공고,강원특별자치도경제진흥원,2026-04-23~2026-05-08,경영,시설/입지지원
biz,PBLN_000000000121405,[전남] 2026년 소재ㆍ부품산업 연구개발 지원 사업 신규과제 모집 공고,"<p>전남테크노파크에서는 글로벌 공급망 재편과 산업구조 변화에 대응하여 전라남도 소재ㆍ부품 중소기업의 기술자립과 고부가가치화를 촉진하고자, 2026년도 「소재ㆍ부품산업 연구개발 지원」사업 신규과제를 다음과 같이 모집하오니 도내 기업 및 연구기관의 적극적인 참여를 바랍니다.</p><p><br></p><p style=""line-height: 1.8;"">☞ 중소기업(주관기관) + 대학 또는 전문연구기관(공동연구기관, 1개에 한함), 컨소시엄 필수</p><p style=""line-height: 1.8;"">- (주관기관) 공고문 접수 마감일 기준 설립일로부터 6개월이 경과한 중소기업으로서, 「부가가치세법」 제8조에 따라 발급된 사업자등록증상 본사 또는 지사의 소재지가 전라남도인 기업</p><p style=""line-height: 1.8;"">※ 자세한 세부지원별 상이 공고문 참조</p><p><br></p><p style=""line-height: 1.8;"">☞ 위기산업 핵심기술 구축, 지역기업 역량강화 지원</p><p style=""line-height: 1.8;"">- 위기산업 핵심기술 구축 : 수입 의존도가 높은 위기산업 분야의 핵심 소재ㆍ부품의 국산화, 대체기술 확보, 고신뢰성 기술개발 등 전략적 핵심기술 개발 과제 중점 지원</p><p style=""line-height: 1.8;"">- 지역기업 역량강화 : 전남 주력산업 전반의 기술역량 강화 및 사업화 촉진을 위해 소재ㆍ부품ㆍ장비 분야의 성능향상, 공정혁신, 품질ㆍ신뢰성 고도화, 친환경ㆍ저탄소 전환 기술개발 과제 지원</p>",기술,전남테크노파크,전라남도,중소기업,,,,,,,공동기술개발,2026-05-08,2026-05-22,,온라인 접수 (전남테크노파크 기업 혁신성장 플랫폼),온라인 접수 (전남테크노파크 기업 혁신성장 플랫폼),https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121405,main,primary,전남2026년소재ㆍ부품산업연구개발지원사업신규과제모집공고,전남테크노파크,2026-05-08~2026-05-22,기술,공동기술개발
biz,PBLN_000000000121404,[제주] 2026년 지역혁신클러스터육성사업(비R&D) 기업지원(R&D연계 지원) 공고,"<p>산업통상부와 제주특별자치도가 지원하는 「지역혁신클러스터육성사업」의 일환으로 제주 지역혁신클러스터 특화분야 경쟁력 강화 및 생태계 조성을 위하여 화장품 및 식품 산업, 기회발전특구(우주ㆍ항공) 관련 기업지원(R&D연계 지원)을 진행하오니, 해당 프로그램 참여를 희망하는 혁신기업의 많은 신청 바랍니다.</p><p><br></p><p>☞ 지역혁신클러스터육성사업 R&D 과제 수행기업(종료과제 포함), 기회발전특구 투자완료기업</p><p><br></p><p style=""line-height: 1.8;"">☞ 총 15개 프로그램, 지원프로그램 중 2개 이상 선택 지원</p><p style=""line-height: 1.8;"">- 기술지원 : 시제품제작, 시험분석, 인증획득, 지식재산권등록, 제품고급화, 장비활용 지원</p><p style=""line-height: 1.8;"">- 사업화지원 : 브랜드지원, 온ㆍ오프 마케팅, 전시회, 디자인개발, 상품기획 지원</p><p style=""line-height: 1.8;"">- 역량강화 : 신규사업 기획ㆍ발굴, 기술지도, 컨설팅 지원, 창업 활동 지원</p>",경영,제주지역산업진흥원,제주특별자치도,중소기업,,,,,,,디자인/상품화/사업화,2026-04-23,2026-05-13,,온라인 접수 (지역산업진흥원 기업지원 홈페이지),온라인 접수 (지역산업진흥원 기업지원 홈페이지),https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121404,main,primary,제주2026년지역혁신클러스터육성사업비rd기업지원rd연계지원공고,제주지역산업진흥원,2026-04-23~2026-05-13,경영,디자인/상품화/사업화
biz,PBLN_000000000121403,[강원] 화천군 2026년 우리동네 필수업종 창업 지원사업 참가자 모집 공고,"<p>화천군 관내 로컬창업자 지원을 통한 지역 내 새로운 경제가치 창출 및 창업생태계 조성을 위해 '강원특별자치도 지역ㆍ산업맞춤형 일자리창출 지원사업'의 일환으로 추진하는「2026 화천군 우리동네 필수업종 지원사업」참여 예비창업자를 아래와 같이 모집합니다.</p><p><br></p><p style=""line-height: 1.8;"">☞ 화천군 관내 창의적 도전정신을 갖춘 청장년(19세~64세) 예비창업자</p><p style=""line-height: 1.8;"">※ 자세한 지원대상 공고문 참조</p><p><br></p><p>☞ 창업교육, 멘토링, 사업화자금(최대 1천만원) 지원</p>",창업,강원특별자치도경제진흥원,강원특별자치도,소상공인,,,,,,,예비창업자지원,2026-04-22,2026-05-20,,이메일 접수 (zny.lee@gwep.or.kr),이메일 접수 (zny.lee@gwep.or.kr),https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121403,main,primary,강원화천군2026년우리동네필수업종창업지원사업참가자모집공고,강원특별자치도경제진흥원,2026-04-22~2026-05-20,창업,예비창업자지원
biz,PBLN_000000000121402,2026년 2차 디지털 랩온어칩 실용화 플랫폼 구축사업 기술지원과제 참여기업 모집 공고,"<p>춘천바이오산업진흥원에서는「2026년 디지털 랩온어칩 실용화 플랫폼 구축사업」의 일환으로, 체외진단 디지털 산업 활성화와 기술력 제고를 위해, 기술지원 과제의 참여기업 모집을 다음과 같이 공고하오니 희망하시는 기업의 많은 참여바랍니다.</p><p><br></p><p>☞ 국내 체외진단 의료기기 산업분야 제조기업</p><p><br></p><p style=""line-height: 1.8;"">☞ 랩온어칩 제작을 위해 필요한 인간항체 개발 지원</p><p style=""line-height: 1.8;"">- 지원금액 30,000천원 이내 지원</p>",기술,춘천바이오산업진흥원,산업통상부,중소기업,,,,,,,혼합(단독+공동),2026-04-27,2026-05-15,,이메일 접수 (haraww@cbf.or.kr),이메일 접수 (haraww@cbf.or.kr),https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121402,main,primary,2026년2차디지털랩온어칩실용화플랫폼구축사업기술지원과제참여기업모집공고,춘천바이오산업진흥원,2026-04-27~2026-05-15,기술,혼합(단독+공동)
