source,source_id,title,summary,s_category,provider,region,target_group,target_tags,target_age,target_age_min,target_age_max,target_detail,income_condition,startup_stage,support_type,apply_start,apply_end,additional_conditions,required_documents,application_method,detail_url,_scope,_scope_reason,norm_title,norm_provider,norm_period,category,subcategory
biz,PBLN_000000000122968,2026년 2차 안전일터 조성지원 사업 수정 공고,"고용노동부와 한국산업안전보건공단은 기술ㆍ재정여력이 취약한 중소사업장과 공사금액 50억원 미만 소규모 건설현장의 사고사망 및 중상해재해를 예방하기 위해 「안전일터 조성지원 사업」 시행을 아래와 같이 수정(2차) 공고 합니다.
☞ 산업재해보상보험에 가입한 사업주
※ 사업별 지원대상 상이, 자세한 사항 공고문 참조
☞ 제조ㆍ서비스업 등 고위험 개선, 스마트 안전장비 지원사업, 소규모 특화 안전일터 조성지원사업(떨어짐 / 끼임, 부딪힘) 지원
※ 사업별 지원내용 상이, 자세한 사항 공고문 참조",인력/일자리,한국산업안전보건공단,전국,중소기업,중소기업,,,,,,,작업환경개선,사업별 상이,,,"온라인 접수 (산업안전포털)
※ 자세한 신청방법 공고문 참조","온라인 접수 (산업안전포털)
※ 자세한 신청방법 공고문 참조",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122968,main,primary,2026년2차안전일터조성지원사업수정공고,한국산업안전보건공단,사업별 상이~,인력,작업환경개선
biz,PBLN_000000000122967,[경북] 2026년 디지털 제조혁신 모델발굴 지원사업 모집 공고(지역 자율형 디지털 혁신프로젝트),"2026년 지역 자율형 디지털 혁신프로젝트(포항) 사업의 일환으로, 경북 제조산업 맞춤형 DX 과제 발굴 및 RFP 고도화를 통한 디지털 전환 기반 마련을 위해 재단법인 포항테크노파크 경북AI혁신본부에서 시행하는 ‘디지털 제조혁신 모델 발굴 지원사업’을 다음과 같이 공고하오니 많은 신청 바랍니다.
☞ 경북 지역 디지털 제조혁신의 높은 역량과 준비된 디지털 기업
☞ 경북 지역 제조 현장 수요를 반영한 디지털 제조혁신 모델 발굴 및 신규 과제 기획 지원
- 제조 현장의 수요를 기반으로 디지털 기술을 융합하여 제조운영 효율화, 생산성 향상, 품질 개선 등 제조혁신이 가능한 서비스 및 기술 모델 기획
- 기존 연구회 및 파일럿 프로젝트 기반 연구과제(RFP) 고도화와 신규 과제 발굴을 통해 후속 사업 연계가 가능한 제조혁신 프로젝트 기획 지원",기술,포항테크노파크,경상북도,중소기업,중소기업,,,,,,,기술사업화/이전/지도,2026-06-09,2026-06-22,,온라인 접수(포항테크노파크),온라인 접수(포항테크노파크),https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122967,main,primary,경북2026년디지털제조혁신모델발굴지원사업모집공고지역자율형디지털혁신프로젝트,포항테크노파크,2026-06-09~2026-06-22,기술,기술사업화/이전/지도
biz,PBLN_000000000122966,[경북] 2026년 중소벤처기업 AI 기술융합 스케일업 지원사업 참여기업 추가 모집 공고,"포항테크노파크는 경상북도의 지원을 받아 지역 AI 융합기술 산업 경쟁력 강화, 기술 고도화 및 신사업 분야 진출 촉진을 위해 “2026년 중소벤처기업 AI 기술융합 스케일업 지원사업”을 다음과 같이 시행하오니, 본 사업에 참여하고자 하는 기업은 절차에 따라 신청하여 주시기 바랍니다.
☞ 접수 마감일 기준 경상북도 소재 AI 핵심 또는 AI융합산업 기술개발 추진(예정) 중소벤처기업
☞ 포스텍AI연구원과의 협업기술과제 개발을 통한 지원기업의 AI 및 AI융합 기술개발Ⅰ 및 중앙부처 R&D 기획과제 컨설팅Ⅱ 지원
- 3개 과제 내외/과제당 40백만원 내외",기술,포항테크노파크,경상북도,중소기업,중소기업,,,,,,,공동기술개발,2026-06-08,2026-06-26,,온라인 접수(포항테크노파크),온라인 접수(포항테크노파크),https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122966,main,primary,경북2026년중소벤처기업ai기술융합스케일업지원사업참여기업추가모집공고,포항테크노파크,2026-06-08~2026-06-26,기술,공동기술개발
biz,PBLN_000000000122965,2026년 수출업체 대상 해외공동물류 지원사업 참가업체 모집 공고,"한국농수산식품유통공사에서 한국 농식품 수출업체를 대상으로 수출 농식품 현지 유통과정에서 발생하는 물류 지원을 통한 품질 경쟁력 제고 및 신규 유통망 개척 지원하는 사업입니다. 
☞ 한국 농림축산식품 수출업체 중 하단의 물류센터 이용 희망업체
☞ 지정 물류센터에서 발생한 한국산 농식품의 입고ㆍ출고ㆍ보관ㆍ운송 서비스 비용의 50~90% 지원
- 지원한도 업체당 최소 5백만원 ~ 최대 50백만원 배정",판로/수출,한국농수산식품유통공사,전국,중소기업,중소기업,,,,,,,해외진출,2026-06-08,2026-06-24,,온라인 접수(aT 수출종합지원시스템),온라인 접수(aT 수출종합지원시스템),https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122965,main,primary,2026년수출업체대상해외공동물류지원사업참가업체모집공고,한국농수산식품유통공사,2026-06-08~2026-06-24,수출,해외진출
biz,PBLN_000000000122964,[인천] 2026년 3차 지식재산 긴급지원 사업 모집 공고,"지역 중소기업에 맞춤형 지식재산 서비스를 지원하는 ‘지식재산 긴급지원’ 사업의 2026년 시행 계획을 다음과 같이 공고하오니 사업에 참여하고자 하는 기업의 많은 신청 바랍니다.
☞ 인천 소재 중소기업(「중소기업 기본법」제2조 및 동법 시행령 제3조에 의거)
※ 각 기초지자체별 신청가능현황 반드시 공고문 확인
☞ 기업 당 2,000만원 이내 지원
- 지식재산 전문가의 IP현안 진단을 통해 컨설턴트 직접컨설팅을 제공하고, 외부기관(분야별 전문기관)과 함께 국내맞춤 특허ㆍ디자인전략, 디자인ㆍ브랜드개발, 특허기술홍보영상제작, 국내ㆍ해외출원비용 등을 지원
※ 자세한 지원내용 공고문 참조",기술,인천지식재산센터,인천광역시,중소기업,중소기업,,,,,,,시험/인증,2026-06-08,2026-06-19,,온라인 접수 (지원기업 사업관리시스템),온라인 접수 (지원기업 사업관리시스템),https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122964,main,primary,인천2026년3차지식재산긴급지원사업모집공고,인천지식재산센터,2026-06-08~2026-06-19,기술,시험/인증
biz,PBLN_000000000122963,[경북] 2026년 블루푸드 수출 마케팅 지원사업 일본 해외시장개척단 참가기업 모집 공고,"경상북도와 경상북도경제진흥원에서는 경북도내 수산기업을 대상으로 해외 신규시장 개척 및 수출증대를 위해 「블루푸드 수출마케팅 지원사업 일본 해외시장개척단」 참가기업을 다음과 같이 모집하오니 많은 관심 바랍니다.
☞ 경상북도 소재 본점 또는 주사업장을 둔 중소제조기업
☞ 현지 바이어 1:1 상담, 통역사(1기업당 1인), 상담물품 현지 운송, 현지 이동수단(단체), 편도 항공료(최대30만원) 지원",판로/수출,경상북도경제진흥원,경상북도,중소기업,중소기업,,,,,,,시장개척,2026-06-09,2026-06-22,,이메일 접수 (osmasis@gepa.kr),이메일 접수 (osmasis@gepa.kr),https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122963,main,primary,경북2026년블루푸드수출마케팅지원사업일본해외시장개척단참가기업모집공고,경상북도경제진흥원,2026-06-09~2026-06-22,수출,시장개척
biz,PBLN_000000000122962,[전남] 2026년 프랑스 파리 식품박람회(SIAL Paris) 참가 희망기업 모집 공고,"전라남도는 2026년 프랑스 파리 SIAL 박람회 참가 지원으로 도내 우수 농수산 제품 전시ㆍ홍보, 바이어 발굴 및 수출을 확대하고자 박람회 참가 희망기업을 다음과 같이 모집하니 많은 신청 바랍니다.
☞ 도내 농수산 가공식품 생산ㆍ유통기업
- 전라남도에 본사 또는 공장을 등록하고 실질적으로 사업을 영위하고 있는 기업
- 해외시장 진출이 가능하도록 제품개발, 포장 디자인된 제품
- 전시품목 : 농수산물, 식품, 음료, 건강 및 스낵 등 농수산식품 전반
☞ 부스 임차료 및 기본 장치비(100%), 왕복 항공료(기업당 1인 100%, 100만원 한도) 지원",판로/수출,한국농수산식품유통공사,전라남도,중소기업,중소기업,,,,,,,해외진출,2026-06-09,2026-06-17,,"온라인 접수(①~④모두신청)
① 전라남도 수출정보망 로그인 후 ‘지원사업신청’ 클릭
② ‘바이 전라남도’ 온라인 플랫폼 제품 등록
③ aT 수출종합지원시스템(http://global.at.or.kr) 로그인 
④ 모집공고/신청 → 신청서 작성 및 서류 제출
- 필수서류 외 제출서류는 이메일(gjtrade@at.or.kr) 제출 가능
※ 자세한 신청방법 공고문 참조","온라인 접수(①~④모두신청)
① 전라남도 수출정보망 로그인 후 ‘지원사업신청’ 클릭
② ‘바이 전라남도’ 온라인 플랫폼 제품 등록
③ aT 수출종합지원시스템(http://global.at.or.kr) 로그인 
④ 모집공고/신청 → 신청서 작성 및 서류 제출
- 필수서류 외 제출서류는 이메일(gjtrade@at.or.kr) 제출 가능
※ 자세한 신청방법 공고문 참조",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122962,main,primary,전남2026년프랑스파리식품박람회sialparis참가희망기업모집공고,한국농수산식품유통공사,2026-06-09~2026-06-17,수출,해외진출
biz,PBLN_000000000122961,[경북] 포항시 2026년 방송광고 제작 및 송출 지원기업 모집 공고(온라인 판로 지원사업),"포항시와 경상북도경제진흥원은 포항시 소재 소상공인 및 중소기업의 지역 IPTV 광고 제작 및 송출을 통한 판로 활성화 지원을 위해 아래와 같이 「방송광고 제작 및 송출 지원사업」을 추진하오니 희망하시는 기업은 기한 내 신청하여 주시기 바랍니다.
☞ 포항시 소재 중ㆍ소상공인 중 점포 또는 사업장(프랜차이즈 제외)을 운영하며 방송광고 및 영상 홍보를 희망하는 기업
☞ 맞춤형 광고 영상 기획, 촬영, 제작 및 지역 IPTV, 케이블 채널 등 방송 송출 지원",판로/수출,경상북도경제진흥원,경상북도,중소기업,중소기업,,,,,,,홍보지원,2026-06-08,2026-06-30,,이메일 접수 (jhrin5199@gepa.kr),이메일 접수 (jhrin5199@gepa.kr),https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122961,main,primary,경북포항시2026년방송광고제작및송출지원기업모집공고온라인판로지원사업,경상북도경제진흥원,2026-06-08~2026-06-30,내수,홍보지원
biz,PBLN_000000000122960,[경북] 포항시 2026년 온라인 셀러 성장 지원기업 모집 공고(온라인 판로 지원사업),"포항시와 경상북도경제진흥원은 포항시 소재 소상공인 및 중소기업의 원스톱 밀착 코칭을 통한 온라인 판매 자립 운영 전환 지원을 위해 아래와 같이 「온라인 셀러 성장 지원사업」을 추진하오니 희망하시는 기업은 기한 내 신청하여 주시기 바랍니다.
☞ 포항시 소재 중ㆍ소상공인 중 온라인 판매 미운영 또는 초기 운영 기업(단순 유통ㆍ중개업 제외)
☞ 온라인 판매채널 개설부터 상품 등록, 상세페이지 제작, 마케팅 및 실전 판매 운영까지 실습 중심의 맞춤형 지원",판로/수출,경상북도경제진흥원,경상북도,중소기업,중소기업,,,,,,,온라인,2026-06-08,2026-06-30,,이메일 접수 (jhrin5199@gepa.kr),이메일 접수 (jhrin5199@gepa.kr),https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122960,main,primary,경북포항시2026년온라인셀러성장지원기업모집공고온라인판로지원사업,경상북도경제진흥원,2026-06-08~2026-06-30,내수,온라인
biz,PBLN_000000000122959,2026년 디지털트윈 기반 의료기기 개발 실증기업 모집 공고(디지털트윈 융합 의료혁신 선도사업 3차년도),"원주의료기기산업진흥원에서는 과학기술정보통신부(정보통신산업진흥원)와 강원특별자치도, 원주시의 지원을 통해 의료기기 산업의 혁신을 촉진하고 디지털트윈 환경 기반의 의료기기 제품개발 실증을 지원하고자 합니다. 이에 ’디지털트윈 기반 의료기기 개발 실증기업 모집‘을 다음과 같이 공고하오니,관심 있는 기업의 많은 신청 바랍니다.
☞ 디지털트윈 환경에서 의료기기 제품 개발 또는 개선(고도화) 실증을 희망하는 국내 의료기기 개발 기업 
- (지원구분1) 본 사업에서 추진하고자 하는 질환(당뇨, 난청, 근골격계) 관련 기기개발 기업
- (지원구분2) 본 사업의 취지에 부합하는 성과를 창출할 수 있는 디지털트윈 기반의 의료기기 개발 기업(자유공모)
☞ 디지털트윈 의료기기 설계/개발 실증을 위한 디지털트윈 통합플랫폼 구축, 의료기기 개발에 따르는 검증체계 지원, 사업화 지원(컨설팅 및 국내외 시장진출)
- 지원규모 : 총 4개 과제(과제당 2년 지원, 최대 5억원(당해연도 2억원 규모 지원))
※ 자세한 지원내용 공고문 참조",기술,원주의료기기산업진흥원,강원특별자치도,중소기업,중소기업,,,,,,,기술사업화/이전/지도,2026-06-01,2026-06-30,,이메일 접수(jys@wmit.or.kr),이메일 접수(jys@wmit.or.kr),https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122959,main,primary,2026년디지털트윈기반의료기기개발실증기업모집공고디지털트윈융합의료혁신선도사업3차년도,원주의료기기산업진흥원,2026-06-01~2026-06-30,기술,기술사업화/이전/지도
