source,raw_category,s_category,note
# ==================================================================
# 카테고리 룰표 v2 (PolicyRec v1.1.4 검증 기반)
# ==================================================================
# 변경 사항 (v1 → v2):
#   - youth 중복 카테고리 코드에서 처리 (CSV 파싱 이슈로 룰표에서 제외)
#   - kst 기술개발(R&D) HTML entity 케이스 추가
#   - 경영 note에 subcategory 분포 명시
# ==================================================================
biz,창업,창업,창업 지원
biz,경영,경영,carry-all (subcategory: 사업화37/컨설팅20/시설지원6/교육1)
biz,기술,기술,R&D 기술개발
biz,인력,인력/일자리,인력 채용/일자리 지원
biz,수출,판로/수출,해외 진출
biz,내수,판로/수출,국내 시장
biz,금융,자금,융자/보증
biz,기타,기타,분류 불명확
kst,사업화,창업,창업 사업화
kst,창업교육,창업,창업 교육
kst,멘토링ㆍ컨설팅ㆍ교육,교육/멘토링,교육/컨설팅
kst,시설ㆍ공간ㆍ보육,시설/공간,보육센터/입주공간
kst,행사ㆍ네트워크,행사/네트워크,네트워킹
kst,판로ㆍ해외진출,판로/수출,해외 진출
kst,글로벌,판로/수출,글로벌 진출
kst,정책자금,자금,자금/융자
kst,인력,인력/일자리,인력
kst,기술개발(R&D),기술,kst R&D
youth,일자리,인력/일자리,취업/창업
youth,주거,주거,주거 지원
youth,금융･복지･문화,복지/문화,금융+복지+문화
youth,교육･직업훈련,교육/멘토링,교육/직업훈련
youth,참여･기반,참여/기반,청년 참여형 (scope=other 자동)
