rule_id,match_type,pattern,replacement,priority,note
R00_01,title_bracket,서울,서울특별시,0,제목 [서울] prefix → 최우선
R00_02,title_bracket,부산,부산광역시,0,제목 [부산] prefix → 최우선
R00_03,title_bracket,대구,대구광역시,0,제목 [대구] prefix → 최우선
R00_04,title_bracket,인천,인천광역시,0,제목 [인천] prefix → 최우선
R00_05,title_bracket,광주,광주광역시,0,제목 [광주] prefix → 최우선
R00_06,title_bracket,대전,대전광역시,0,제목 [대전] prefix → 최우선
R00_07,title_bracket,울산,울산광역시,0,제목 [울산] prefix → 최우선
R00_08,title_bracket,세종,세종특별자치시,0,제목 [세종] prefix → 최우선
R00_09,title_bracket,경기,경기도,0,제목 [경기] prefix → 최우선
R00_10,title_bracket,강원,강원특별자치도,0,제목 [강원] prefix → 최우선
R00_11,title_bracket,충북,충청북도,0,제목 [충북] prefix → 최우선
R00_12,title_bracket,충남,충청남도,0,제목 [충남] prefix → 최우선
R00_13,title_bracket,전북,전북특별자치도,0,제목 [전북] prefix → 최우선
R00_14,title_bracket,전남,전라남도,0,제목 [전남] prefix → 최우선
R00_15,title_bracket,경북,경상북도,0,제목 [경북] prefix → 최우선
R00_16,title_bracket,경남,경상남도,0,제목 [경남] prefix → 최우선
R00_17,title_bracket,제주,제주특별자치도,0,제목 [제주] prefix → 최우선
R00_18,title_bracket,대구ㆍ경북,경상북도,0,제목 [대구ㆍ경북] → 경북 우선
R00_19,title_bracket,부산ㆍ울산ㆍ경남,경상남도,0,제목 [부산ㆍ울산ㆍ경남] → 경남 우선
R01,exact,서울,서울특별시,1,alias
R02,exact,부산,부산광역시,1,alias
R03,exact,대구,대구광역시,1,alias
R04,exact,인천,인천광역시,1,alias
R05,exact,광주,광주광역시,1,alias
R06,exact,대전,대전광역시,1,alias
R07,exact,울산,울산광역시,1,alias
R08,exact,세종,세종특별자치시,1,alias
R09,exact,경기,경기도,1,alias
R10,exact,강원,강원특별자치도,1,alias
R11,exact,충북,충청북도,1,alias
R12,exact,충남,충청남도,1,alias
R13,exact,전북,전북특별자치도,1,alias
R14,exact,전남,전라남도,1,alias
R15,exact,경북,경상북도,1,alias
R16,exact,경남,경상남도,1,alias
R17,exact,제주,제주특별자치도,1,alias
R20,exact,중소벤처기업부,전국,2,biz jrsdInsttNm 혼입
R21,exact,산업통상부,전국,2,biz jrsdInsttNm 혼입
R22,exact,문화체육관광부,전국,2,biz jrsdInsttNm 혼입
R23,exact,농림축산식품부,전국,2,biz jrsdInsttNm 혼입
R24,exact,과학기술정보통신부,전국,2,biz jrsdInsttNm 혼입
R25,exact,기후에너지환경부,전국,2,biz jrsdInsttNm 혼입
R26,contains,중소벤처기업부 창업벤처혁신실,전국,2,biz 부처+부서 형태
R27,exact,한국고용정보원,전국,2,youth 공공기관
R28,exact,청년정책관,전국,2,youth 시도 prefix 누락 케이스
R29,exact,교육부,전국,2,biz jrsdInsttNm 혼입 (1차 누락분)
R52,exact,외교부,전국,2,biz jrsdInsttNm 혼입 (1차 누락분)
R53,exact,해양수산부,전국,2,biz jrsdInsttNm 혼입 (1차 누락분)
R54,exact,조달청,전국,2,biz jrsdInsttNm 혼입 (1차 누락분)
R55,exact,고용노동부,전국,2,biz jrsdInsttNm 혼입 (1차 누락분)
R30,prefix,제주특별자치도,제주특별자치도,3,youth 기관명 prefix
R31,prefix,부산광역시,부산광역시,3,youth 기관명 prefix
R32,prefix,경기도,경기도,3,youth 기관명 prefix
R33,prefix,전북특별자치도,전북특별자치도,3,youth 기관명 prefix
R34,prefix,경상남도,경상남도,3,youth 기관명 prefix
R35,prefix,전라남도,전라남도,3,youth 기관명 prefix
R36,prefix,강원특별자치도,강원특별자치도,3,youth 기관명 prefix
R37,prefix,서울특별시,서울특별시,3,youth 기관명 prefix
R38,prefix,인천광역시,인천광역시,3,예방용 (현재 main 데이터엔 없지만 신규 데이터 대비)
R39,prefix,대구광역시,대구광역시,3,예방용
R40,prefix,대전광역시,대전광역시,3,예방용
R41,prefix,광주광역시,광주광역시,3,예방용
R42,prefix,울산광역시,울산광역시,3,예방용
R43,prefix,세종특별자치시,세종특별자치시,3,예방용
R44,prefix,충청북도,충청북도,3,예방용
R45,prefix,충청남도,충청남도,3,예방용
R46,prefix,경상북도,경상북도,3,예방용
R50,exact,광주시청,광주광역시,4,"youth 27건. ""광주시청""은 광주광역시 의미."
R51,contains,재단법인전라남도,전라남도,4,재단법인전라남도중소기업... 형태
