match_field,match_type,pattern,tag,priority,note
target_group,code,0013001,청년,1,youth API 코드 - 청년
target_group,code,0013003,청년,1,youth API 코드 - 청년(대학생 포함)
target_group,code,0013006,청년,1,youth API 코드 - 청년(취업준비생)
target_group,code,0013008,청년,1,youth API 코드 - 청년(귀농귀촌)
target_group,code,0013010,청년,1,youth API 코드 - 청년(일반)
target_group,keyword,청소년,청년,2,청소년 = 청년 포함
target_group,keyword,청년,청년,2,청년 명시
target_group,keyword,예비창업,예비창업자,2,예비창업자 명시
target_group,keyword,1인 창조기업,초기창업기업,2,1인 창조기업 = 이미 창업한 1인 사업자
target_group,keyword,창업벤처,초기창업기업,2,창업벤처
target_group,keyword,중소기업,중소기업,2,중소기업 명시
target_group,keyword,소상공인,소상공인,2,소상공인 명시
target_group,keyword,사회적기업,사회적기업,2,사회적기업 - 별도 카테고리
target_group,keyword,일반기업,기업,2,일반기업 - 대기업 포함 가능
target_group,keyword,대학생,청년,3,대학생 = 보통 청년 (대학원생 일부 예외)
title,keyword,청년,청년,4,제목에 청년 포함
title,keyword,스타트업,스타트업,4,제목에 스타트업 포함
title,keyword,예비창업,예비창업자,4,제목에 예비창업 포함
title,keyword,창업기업,초기창업기업,4,제목에 창업기업 포함
title,keyword,초기창업,초기창업기업,4,제목에 초기창업 포함
title,keyword,소상공인,소상공인,4,제목에 소상공인 포함
title,keyword,중소기업,중소기업,4,제목에 중소기업 포함
title,keyword,사회적기업,사회적기업,4,제목에 사회적기업 포함
title,keyword,여성,여성,4,제목에 여성 포함
title,keyword,농업인,농업인,4,제목에 농업인 포함
title,keyword,귀농,농업인,4,제목에 귀농 포함
s_category,category,주거,청년,5,주거 지원 = youth 청년 대상
s_category,category,복지/문화,청년,5,복지/문화 = youth 청년 대상
target_detail,keyword,제한 없음,누구나,6,누구나 신청 가능
target_detail,keyword,누구나,누구나,6,누구나 명시
target_detail,keyword,예비창업,예비창업자,6,target_detail에 예비창업
target_detail,keyword,만 19세,청년,6,연령 조건에 청년 범위
target_detail,keyword,만 39세,청년,6,연령 조건에 청년 범위
target_group,code,0013009,청년,1,youth API 코드 - 청년(농업인/재도전 포함)
target_group,code,0049010,청년,1,youth API 코드 - 지원유형(청년 대상)
target_group,code,0049005,청년,1,youth API 코드 - 학자금/장학금
target_group,code,0049006,청년,1,youth API 코드 - 학자금/장학금
target_group,code,0049007,청년,1,youth API 코드 - 학자금/장학금
target_group,code,0049008,청년,1,youth API 코드 - 학자금/장학금
target_group,code,0049003,청년,1,youth API 코드 - 취업지원
target_group,code,0049004,청년,1,youth API 코드 - 취업지원
target_group,code,0049009,청년,1,youth API 코드 - 기타 청년지원
target_group,code,0049002,청년,1,youth API 코드 - 기타 청년지원
target_group,keyword,일반인,누구나,2,일반인 = 누구나
target_group,keyword,해당없음,누구나,2,해당없음 = 누구나
target_group,keyword,제한 없음,누구나,2,제한 없음 = 누구나
