retriever,query,rank,score,announcement_id,title,region,provider,category,target_group_display,apply_end,summary
vector,지원사업이 들어간 공고 다 찾아줘,1,0.762696352413563,1,2026년 물산업 유망 해외프로젝트 발굴 지원사업 모집 공고,전국,기후에너지환경부,수출,중소기업,2026-05-08 00:00:00+00:00,"민관협력 해외진출 활성화를 위한 '2026년 유망 해외프로젝트 발굴 지원사업'을 다음과 같이 공고하오니, 참여를 희망하는 기업은 2026. 5. 8.(금) 18:00까지 신청하여 주시기 바랍니다. ☞ 「물산업진흥법」제2조제3호에 해당하는 중소 물기업 ☞ 해외 사업 발굴에 소요되는 국외활동비 등 직접경비 지원"
vector,지원사업이 들어간 공고 다 찾아줘,2,0.761751171706162,15,「2026년 민관협력 오픈이노베이션 지원사업」중견기업-스타트업 오픈이노베이션 수요기업 협업과제 모집공고,전국,중소벤처기업부장관,행사ㆍ네트워크,일반기업,2026-05-11 00:00:00+00:00,중견기업의 오픈이노베이션 참여를 활성화하고 스타트업과의 협력을 통한 동반 성장 지원을 위해 「2026년 민관협력 오픈이노베이션 지원사업」중견기업-스타트업 오픈이노베이션 수요기업을 다음과 같이 모집합니다.
vector,지원사업이 들어간 공고 다 찾아줘,3,0.759270034549677,2,2026년 민관협력 해외사업 현지화 지원사업 모집 공고,전국,기후에너지환경부,수출,중소기업,2026-05-08 00:00:00+00:00,"우수한 물기술과 역량을 보유한 중소기업과 공공부문이 민관협력체계를 구축하여, 물기업의 성공적인 해외사업 수행을 지원하는 '2026년 민관협력 해외사업 현지화 지원사업'을 다음과 같이 공고하오니, 참여를 희망하는 기업은 2026. 5. 8.(금) 18:00까지 신청하여 주시기 바랍니다. ☞ 물산업진흥법 제2조제3호에 해당하는 중소 물기업 ☞ 당해 총사업비 내"
vector,지원사업이 들어간 공고 다 찾아줘,4,0.757272013859446,12,울산시 바이오 디지털 헬스케어 글로벌 진출 지원 (2026 BIO USA 참관) 사업,울산광역시,울산과학기술원,글로벌,일반기업,2026-05-18 00:00:00+00:00,"울산지역 바이오‧디지털 헬스케어 기업의 글로벌 시장 진출을 지원하기 위해 BIO USA 2026 참 프로그램을 운영하오니, 관심 있는 창업팀 및 기업의 많은 신청 바랍니다. ※ 자세한 공고 내용 및 신청서 양식은 첨부파일을 참고하시기 바랍니다."
vector,지원사업이 들어간 공고 다 찾아줘,5,0.756702305855928,20,2026년 3D-FAB 크라우드펀딩 지원사업 참여 기업 모집,전국,3D프린팅혁신성장센터,판로ㆍ해외진출,일반인 · 대학생 · 연구기관 · 일반기업 · 1인 창조기업,2026-05-15 00:00:00+00:00,"3D-FAB은 과학기술정보통신부 소관의 정보통신산업진흥원에서 예비창업자, 스타트업, 중소기업을 위해 준비한 3D프린팅 기술 복합지원 공간입니다. 크라우드펀딩을 통한 3D프린팅 기술 활용기업의 성장 지원을 위해 3D-FAB(3D프린팅혁신성장센터)에서 [‘26년 3D-FAB 크라우드펀딩 지원사업]을 다음과 같이 공고 하오니 관심 있는 기업은 안내에 따라 신청하"
vector,지원사업이 들어간 공고 다 찾아줘,6,0.74937845974579,7,[경남] 2026년 서울국제식품산업대전 참가 지원사업 참가업체 모집 공고,경상남도,경남무역,내수,중소기업,2026-04-26 00:00:00+00:00,"도내 농수산물 관련 수출 중소기업을 대상으로 「2026 서울국제식품산업대전(Seoul Food 2026)」에 참가할 업체를 아래와 같이 모집하오니, 참가를 희망하는 업체는 신청하여 주시기 바랍니다. ☞ 경상남도에 본사 또는 공장을 둔 수출 중소기업(참가품목 대상) ☞ '2026 서울국제식품산업대전(Seoul Food 2026)' 부스임차 및 장치비 등 지원"
vector,지원사업이 들어간 공고 다 찾아줘,7,0.748858345634275,10,[서울] 2026년 보증연계 R&D 지원사업 공고(서울형 R&D 지원사업),서울특별시,서울경제진흥원,기술,중소기업,2026-05-15 00:00:00+00:00,"2026년 서울형 보증연계 R&D 지원사업을 다음과 같이 공고하오니 참여를 희망하는 서울 소재 중소기업 및 컨소시엄은 관련 규정과 절차에 따라 신청하여 주시기 바랍니다. ☞ 서울 소재지면서 기술보증기금의 서울형 BIRD 프로그램 1단계 추천기업(중소기업) ☞ 우수ㆍ유망기술 사업화를 위한 기술개발, 시제품 제작 및 시험인증 등 사업화 단계 지원 - 사업 TR"
vector,지원사업이 들어간 공고 다 찾아줘,8,0.745140204519782,13,2026년 서울시 소셜벤처 임팩트 측정 상담 신청 참여기업 모집(~5.15.),서울특별시,서울소셜벤처허브,사업화,일반기업 · 1인 창조기업,2026-05-15 00:00:00+00:00,서울소셜벤처허브에서는 서울시 소셜벤처기업이 창출하는 지속가능한 임팩트 측정과 보고서 지원을 통해 경쟁력과 임팩트를 강화하기 위해서 아래와 같이 참여기업을 모집하오니 관심 있는 기업의 많은 참여 바랍니다.
vector,지원사업이 들어간 공고 다 찾아줘,9,0.742862993600413,4,2026년 사회적가치지표(SVI) 측정기업 모집 공고,전국,고용노동부,창업,사회적기업,2026-10-15 00:00:00+00:00,"사회적기업이 창출하는 사회적ㆍ경제적 가치를 종합 측정ㆍ평가하는「사회적가치지표(SVI) 측정」사업에 참여할 기업을 다음과 같이 모집하오니, 관심 있는 기업의 많은 신청 바랍니다. ☞ (예비)사회적기업 및 사회적기업 성장지원센터 회원기업 ☞ 공공ㆍ민간기관 대상 홍보, 표창수여, 탁월 기업 네트워크 신설 등 지원 ※ 자세한 지원내용 공고문 참조"
vector,지원사업이 들어간 공고 다 찾아줘,10,0.734301964130675,14,제주창조경제혁신센터 글로벌 액셀러레이팅 프로그램 「시리즈 J 」 참여기업 모집,전국,제주창조경제혁신센터,글로벌,청소년 · 대학생 · 일반인 · 연구기관 · 일반기업 · 1인 창조기업,2026-05-08 00:00:00+00:00,제주창조경제혁신센터에서 스타트업의 성공적인 일본 진출과 성장을 지원하는 특화 액셀러레이팅 프로그램 「시리즈 J」에 참여할 스타트업을 모집합니다.
